patent_id,inventor_id
D520786,fl:jo_ln:ferrerbeltran-2
12165353,fl:an_ln:sundstrom-1
11617187,fl:sa_ln:ganu-2
7904277,fl:ri_ln:schatzberger-1
12179842,fl:ha_ln:bodin-1
11595705,fl:sh_ln:o'malley-2
8908127,fl:ki_ln:cho-59
11262090,fl:ke_ln:shull-2
11528824,fl:lu_ln:lopezmoreno-1
9658151,fl:ma_ln:liphardt-2
11384864,fl:yo_ln:yamada-56
5706410,fl:jo_ln:baker-78
6049464,fl:fr_ln:garbelli-1
5559840,fl:ro_ln:rutledge-2
10891115,fl:pa_ln:koptilin-1
4943630,fl:je_ln:jacquinet-1
6293311,fl:an_ln:auvil-2
7761851,fl:st_ln:hunt-10
D1003337,fl:an_ln:tang-15
11609753,fl:mi_ln:samuel-5
7530085,fl:ez_ln:darshan-1
10906348,fl:ri_ln:peres-1
7464686,fl:yu_ln:oda-7
12024523,fl:la_ln:ulander-2
D1085032,fl:ky_ln:lee-627
8863259,fl:ju_ln:takagi-11
11893068,fl:yo_ln:jun-66
4834735,fl:mi_ln:alemany-1
4305475,fl:ro_ln:wacker-1
8927555,fl:da_ln:neff-1
11461267,fl:yi_ln:wang-136
6340931,fl:be_ln:harrison-2
5879927,fl:ba_ln:vanhell-1
D523440,fl:pa_ln:kalyanapu-1
10644314,fl:gl_ln:amatucci-1
8812713,fl:ja_ln:delker-2
10105334,fl:wi_ln:meng-1
4359283,fl:th_ln:mcclellan-3
12074586,fl:gu_ln:weng-7
7449934,fl:ji_ln:park-190
5193174,000f0k6brgval6kr9agzjlgcg
9310547,fl:yo_ln:son-144
5970732,000f3mi5t5lpa1ch45ncsfqtz
11493499,fl:ra_ln:venkataramani-1
11407819,fl:ya_ln:ko-1
11708101,fl:vi_ln:ramamoorthy-2
7856699,fl:bo_ln:ormsbee-1
6252450,fl:ro_ln:alini-1
10850064,fl:jo_ln:buysman-2
10789037,fl:ru_ln:shi-10
9256973,fl:ca_ln:phillips-22
5922953,000fjkbab9nljqyqpy20ktebx
10828285,fl:sr_ln:punna-1
9149465,fl:mi_ln:grogan-1
D581611,fl:mi_ln:moore-11
7411950,fl:ma_ln:horiguchi-17
D784590,fl:se_ln:jurdana-1
10862110,fl:ja_ln:choi-156
D423279,fl:ma_ln:barker-12
5828387,fl:ha_ln:takahashi-28
8693422,fl:ki_ln:han-39
4830308,fl:jo_ln:puryear-2
5030533,fl:da_ln:murti-1
8592791,fl:ja_ln:tour-1
11326911,fl:pi_ln:payraud-1
10629805,fl:te_ln:asayama-1
9105616,fl:ka_ln:lee-173
7934604,fl:ma_ln:zeiler-4
5366171,fl:le_ln:kononov-1
4226980,fl:mo_ln:sato-1
9103076,fl:mo_ln:hassan-32
7762725,fl:wa_ln:barnette-2
8182343,fl:em_ln:watanabe-2
11314830,fl:xi_ln:zhang-560
8046452,fl:pe_ln:hovell-1
11323566,fl:mi_ln:chen-252
11742302,fl:ar_ln:pun-1
7710899,fl:pr_ln:mehta-23
8900503,fl:mi_ln:boraas-1
6343708,000hl8sepandlrjbxh7oea7wh
11643132,fl:ar_ln:wojtalik-1
10494358,fl:ta_ln:toida-4
4827518,fl:st_ln:weinstein-1
11253839,fl:al_ln:hagemeyer-1
10376878,fl:ni_ln:manaresi-2
5999241,fl:to_ln:konuma-2
9982200,fl:ra_ln:dongara-3
4977930,fl:he_ln:huber-5
9536571,fl:ro_ln:tench-1
9291306,fl:pa_ln:conlan-1
11847113,fl:ra_ln:bordawekar-2
12218424,fl:ha_ln:xu-119
4639452,fl:al_ln:lacour-2
D888267,fl:an_ln:besana-1
7269900,fl:ma_ln:kanda-11
5235608,fl:ta_ln:konishi-35
10431333,fl:ka_ln:teichert-1
8904488,fl:ji_ln:zhang-632
9044359,fl:ca_ln:kreuzer-1
8635870,fl:ya_ln:kanou-4
